,country,province,region_1,region_2,winery
68017,US,California,Napa Valley,Napa,Green & Red
68031,Portugal,Port,,,Quinta de Santa Eufemia
68035,Italy,Piedmont,Barolo,,Réva
68060,Hungary,Tokaji,,,Holdvölgy
68075,US,California,Sonoma Coast,Sonoma,Chardenet
68099,Italy,Veneto,Valpolicella Superiore Ripasso,,Pietro Zardini
68112,Australia,Victoria,Strathbogie Ranges,,Cooralook
68116,France,Provence,Côtes de Provence,,Noble Terroir
68128,Spain,Levante,Yecla,,Nabuko
68137,Spain,Catalonia,Terra Alta,,Bogatell
68266,Italy,Tuscany,Vino Nobile di Montepulciano,,Ïl Macchione
68271,Italy,Tuscany,Chianti Classico,,Losi
68333,Bulgaria,Thracian Valley,,,Logodaj
68339,Bulgaria,Thracian Valley,,,Bratanov
68356,France,Bordeaux,Lussac Saint-Émilion,,Château du Courlat
68367,France,Bordeaux,Pessac-Léognan,,Château Haut-Vigneau
68387,Italy,Northeastern Italy,Delle Venezie,,Bella Sera
68391,US,California,Russian River Valley,Sonoma,Domaine Danica
68403,Italy,Veneto,Veneto,,Anselmi
68405,Italy,Northeastern Italy,Friuli Venezia Giulia,,Furlan
68410,Italy,Southern Italy,Salento,,Mottura
68416,Australia,Australia Other,South Eastern Australia,,Gosford
68450,France,Southwest France,Madiran,,Domaine du Moulié
68478,France,Provence,Coteaux d'Aix-en-Provence,,Château des Gavelles
68495,US,California,Monterey,Central Coast,Ranch 32
68503,US,California,Anderson Valley,,Outlier
68520,Mexico,Valle de Guadalupe,,,El Sombrero
68532,Spain,Northern Spain,Bierzo,,Demencia de Autor
68542,South Africa,Walker Bay,,,Hermanuspietersfontein
68545,France,Bordeaux,Castillon Côtes de Bordeaux,,Château la Brande
68563,US,California,Paso Robles,Central Coast,Moonstone
68575,US,Oregon,Dundee Hills,Willamette Valley,De Ponte Cellars
68582,US,California,Santa Barbara County,Central Coast,Mark Moretti
68586,US,Oregon,Chehalem Mountains,Willamette Valley,1789 Wines
68587,US,California,Napa Valley,Napa,75 Wine Co.
68616,South Africa,Western Cape,,,Snow Mountain
68625,France,Beaujolais,Beaujolais-Villages,,Domaine des Hospices Civils de Lyon
68654,US,California,Ballard Canyon,Central Coast,La Voix
68668,France,Bordeaux,Saint-Émilion,,Château la Marzelle
68766,Australia,Western Australia,Margaret River,,Edwards
68774,Argentina,Mendoza Province,Mendoza,,Budini
68776,Argentina,Mendoza Province,Mendoza,,Finca El Retiro
68792,France,Beaujolais,Brouilly,,Château des Tours
68796,Italy,Tuscany,Montecucco,,Pianirossi
68798,Italy,Tuscany,Toscana,,Poggio al Tufo
68812,US,California,Russian River Valley,Sonoma,Monte Smith
68815,US,California,Russian River Valley,Sonoma,Mountain View
68816,Italy,Tuscany,Montecucco,,Peteglia
68826,France,Bordeaux,Moulis-en-Médoc,,Château Duplessis
68850,Argentina,Mendoza Province,Mendoza,,Valle Austral
68856,US,Oregon,Chehalem Mountains,Willamette Valley,Dauntless
68874,France,Champagne,Champagne,,Ernest Rapeneau
68907,France,Loire Valley,Côte Roannaise,,Domaine Sérol
68963,Italy,Tuscany,Toscana,,Montauto
69000,Italy,Tuscany,Bolgheri,,I Greppi
69011,France,Bordeaux,Saint-Émilion,,Vieux Château Chauvin
69030,US,California,San Lucas,Central Coast,Caernarvon Cellars
69068,US,California,Rutherford,Napa,Wm. Harrison
69078,France,Champagne,Champagne,,Castelnau
69085,Spain,Northern Spain,Rueda,,Gran Cardiel
69143,Canada,British Columbia,Okanagan Valley,,Cellar Hand
69150,Italy,Piedmont,Barolo,,Malgrà
69166,New Zealand,Marlborough,,,Hunky Dory
69186,US,California,Sonoma Valley,Sonoma,Little Vineyards
69205,Germany,Rheingau,,,Schloss Reinhartshausen
69256,US,California,Coombsville,Napa,Ackerman Family Vineyards
69258,Italy,Central Italy,Romagna,,Balia di Zola
69260,Italy,Central Italy,Romagna,,Bissoni
69282,US,California,Dry Creek Valley,Sonoma,Optima
69293,Argentina,Mendoza Province,Mendoza,,Artes del Sur
69305,Portugal,Vinho Verde,,,Cavipor
69344,Italy,Sicily & Sardinia,Sicilia,,Mirabile
69347,Argentina,Mendoza Province,Mendoza,,Inacayal
69360,France,Languedoc-Roussillon,Corbières,,Château Lamy
69391,France,Champagne,Champagne,,Nominé-Renard
69392,France,Champagne,Champagne,,A. Margaine
69398,Portugal,Douro,,,Porca de Murça
69416,US,California,Lodi,Central Valley,Zinsane
69429,Spain,Catalonia,Priorat,,Prior Art
69474,France,Bordeaux,Pauillac,,Château Duhart Milon
69476,France,Bordeaux,Saint-Estèphe,,Château Lafon Rochet
69479,France,Southwest France,Côtes de Gascogne,,Vignobles Fontan
69480,France,Languedoc-Roussillon,Côtes de Thau,,VillaViva
69491,US,California,Sonoma County,Sonoma,Badger Hound
69504,Spain,Central Spain,Vino de la Tierra de Castilla,,Pinuaga
69541,France,Rhône Valley,Côtes du Rhône,,Grand Nicolet
69550,France,Southwest France,Fronton,,Chateau Saint Louis
69564,France,Southwest France,Côtes de Gascogne,,Domaine de Magnaut
69565,France,Southwest France,Côtes de Gascogne,,Domaine du Rey
69572,France,Bordeaux,Bordeaux Supérieur,,Château Fondarzac
69578,US,California,Russian River Valley,Sonoma,Ernest
69588,US,California,Lodi,Central Valley,Rock Lobster
69603,Canada,British Columbia,Okanagan Valley,,Tantalus Vineyards
69657,Italy,Tuscany,Rosso di Montepulciano,,Talosa
69678,France,Languedoc-Roussillon,Pays d'Oc,,Domaine de Viranel
69680,Spain,Catalonia,Cava,,Eximius
69698,US,California,Sonoma Valley,Sonoma,Sand Hill
69700,US,California,Central Coast,Central Coast,Tamás
69755,US,Oregon,Willamette Valley,Willamette Valley,K&M;
69761,US,California,Sonoma County,Sonoma,Overland
69773,US,California,Antelope Valley of the California High Desert,South Coast,Coruce
69774,France,Loire Valley,Vouvray,,Domaine du Vieux Vauvert
69775,Italy,Northeastern Italy,Alto Adige,,Dürer-Weg
69797,France,Provence,Côtes de Provence,,Domaine Escaravatiers
69800,France,Provence,Côtes de Provence,,La Belle Collection
69801,Italy,Veneto,Soave,,Sant'Anjelus
69808,France,Southwest France,Côtes de Gascogne,,Domaine de Maubet
69814,Argentina,Mendoza Province,Mendoza,,Pindal
69817,US,California,California,California Other,Ambrose
69818,Spain,Northern Spain,Calatayud,,Las Capas
69820,France,Provence,Coteaux d'Aix-en-Provence,,Domaine de la Pomme de Pin
69848,Italy,Central Italy,Cerasuolo d'Abruzzo,,Binomio
69855,US,Oregon,Willamette Valley,Willamette Valley,VinStrata
69865,France,Languedoc-Roussillon,Sable de Camargue,,Listel
69897,Italy,Piedmont,Dolcetto d'Alba,,Camerano
69898,France,Bordeaux,Castillon Côtes de Bordeaux,,Château Lagrave Aubert
69900,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Tour Saint-Germain
69945,France,Bordeaux,Bordeaux Blanc,,Château Lauretan
69951,Italy,Tuscany,Bolgheri,,Greppi Cupi
69971,France,Bordeaux,Bordeaux Supérieur,,Château Gamage
70009,France,Bordeaux,Cadillac Côtes de Bordeaux,,Château de Sadran
70010,France,Bordeaux,Bordeaux Supérieur,,Château Fourchou
70025,US,California,Dunnigan Hills,Central Valley,R.H. Phillips
70030,US,California,Napa Valley,Napa,Lewis
70036,Italy,Tuscany,Vino Nobile di Montepulciano,,Il Cavalierino
70039,Italy,Tuscany,Chianti Classico,,Fattoria Montecchio
70048,France,Loire Valley,Sancerre,,Philippe Girard
70050,US,California,Napa Valley,Napa,Block 88
70051,Spain,Northern Spain,Calatayud,,Breca
70054,France,Loire Valley,Sancerre,,Domaine Alban Roblin
70055,France,Loire Valley,Touraine,,Domaine des Elephants
70056,France,Loire Valley,Quincy,,Domaines Tatin
70059,Spain,Northern Spain,Ribera del Duero,,Viña Sastre
70072,France,Beaujolais,Côte de Brouilly,,Domaine Régis Champier
70099,Spain,Northern Spain,Rioja,,Valdelamillo
70128,France,Bordeaux,Pomerol,,Château Lécuyer
70142,France,Bordeaux,Margaux,,VIgnobles René Renon
70154,US,California,Sonoma Valley,Sonoma,Fausta
70169,Croatia,North Dalmatia,,,Suha Punta
70178,Spain,Northern Spain,Rioja,,Verema
70245,France,Languedoc-Roussillon,Corbières,,Domaine Serres Mazard
70261,Italy,Veneto,Veneto,,Tenuta Santa Maria
70317,US,California,Sta. Rita Hills,Central Coast,Dolina
70338,France,France Other,Vin de France,,Paul Bouchard & Cie
70351,France,Burgundy,Pouilly-Fuissé,,Roger Luquet
70352,France,France Other,Vin de France,,J.P. Chenet
70385,France,Bordeaux,Blaye Côtes de Bordeaux,,Château les Vieux Moulins
70388,US,California,Napa Valley,Napa,Toad Hall
70393,Italy,Northeastern Italy,Colli Orientali del Friuli,,Ronco delle Betulle
70402,New Zealand,Waipara Valley,,,Main Divide
70428,US,California,Oakville,Napa,Bon Coeur
70438,New Zealand,Central Otago,,,Soho
70449,US,California,Sta. Rita Hills,Central Coast,Domaine de la Cote
70476,US,Washington,Columbia Valley (WA),Columbia Valley,Northwest Cellars
70486,Argentina,Mendoza Province,Maipú,,Viamonte
70488,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Finca las Caraballas
70584,US,California,Coombsville,Napa,Merus
70613,Italy,Veneto,Prosecco,,Cà Furlan
70621,France,Burgundy,Pouilly-Fuissé,,Michel Dutour
70634,South Africa,Coastal Region,,,The Yellow Cellar
70638,Australia,Western Australia,Pemberton,,Fonty's Pool
70654,Germany,Rheinhessen,,,Blümel
70659,France,Bordeaux,Bordeaux,,Château Mazetier
70661,France,Bordeaux,Bordeaux Supérieur,,Cru Lagaillarde
70677,US,Oregon,Willamette Valley,Willamette Valley,Panache Cellars
70693,US,California,Calistoga,Napa,TwentyFour by Charles Woodson
70696,Australia,South Australia,South Australia,,Charles Melton
70736,US,California,Rutherford,Napa,Eaglewood
70749,US,California,Carneros,Napa-Sonoma,Annabella
70763,France,Bordeaux,Bordeaux Blanc,,Château Gandoy Perrinat
70766,France,Loire Valley,Muscadet Sèvre et Maine,,Château les Templiers
70771,US,New York,Finger Lakes,Finger Lakes,Agness
70776,France,Bordeaux,Bordeaux,,Château les Verriers
70777,France,Bordeaux,Montagne-Saint-Émilion,,Château Montaiguillon
70778,France,Bordeaux,Entre-Deux-Mers,,Château Naudeau
70839,France,Bordeaux,Bordeaux Supérieur,,Château de la Cour d'Argent
70844,France,Bordeaux,Bordeaux,,Domaine de Valmengaux
70859,US,California,St. Helena,Napa,Taplin Cellars
70861,Austria,Wagram,,,Josef Bauer
70868,US,California,San Luis Obispo County,Central Coast,Ancestrale
70904,US,California,Santa Maria Valley,Central Coast,Drake
70910,US,California,Anderson Valley,,Kutch
70912,US,Washington,Columbia Valley (WA),Columbia Valley,Lowden Hills
70937,US,New York,North Fork of Long Island,Long Island,Shinn Estate
70950,New Zealand,Marlborough,,,Clifford Bay
70971,Italy,Veneto,Amarone della Valpolicella Classico,,Tenute Salvaterra
70989,Italy,Piedmont,Dolcetto di Diano d'Alba,,Bricco Maiolica
70997,Italy,Piedmont,Barbera d'Asti Superiore,,La Ballerina
71027,US,California,Stags Leap District,Napa,Ilsley
71029,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Vizorro
71039,US,Idaho,,,Indian Creek
71064,France,Rhône Valley,Costières de Nîmes,,Château de Valcombe
71081,Uruguay,Canelones,,,Pizzorno
71114,US,California,Santa Lucia Highlands,Central Coast,Figge
71134,US,California,Santa Lucia Highlands,Central Coast,Pendleton
71158,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Storks' Tower
71162,Argentina,Other,Patagonia,,Southern Edge
71174,Italy,Tuscany,Toscana,,Fattoria La Massa
71176,Portugal,Douro,,,J.M. da Fonseca and Van Zeller
71178,Spain,Central Spain,Mentrida,,Tres Patas
71189,Italy,Tuscany,Toscana,,Montevertine
71190,Spain,Northern Spain,Rioja,,Peñagudo
71210,US,California,Napa Valley,Napa,One Three
71231,US,Washington,Washington,Washington Other,Bieler Family
71249,New Zealand,Marlborough,,,Taonga
71252,Spain,Northern Spain,Rioja,,Oxer Basteguieta
71262,Argentina,Mendoza Province,Mendoza,,Los Clop
71264,US,Texas,Texas High Plains,,Lost Oak
71273,Italy,Piedmont,Barbaresco,,La Bioca
71279,Portugal,Port,,,Christie's
71302,Spain,Northern Spain,Navarra,,Bodegas Piedemonte
71304,US,California,Bennett Valley,Sonoma,C Square
71376,US,California,Anderson Valley,,Wilde Farm Wines
71418,Spain,Northern Spain,Campo de Borja,,Terrazas del Moncayo
71421,France,Rhône Valley,Côtes du Rhône,,Philippe Borlais
71449,Italy,Lombardy,Lugana,,La Sansonina
71503,France,Bordeaux,Saint-Émilion,,Château Corbin Michotte
71504,France,Bordeaux,Puisseguin Saint-Émilion,,Château Guillotin
71522,New Zealand,Marlborough,,,Rabbit Ranch
71535,France,Bordeaux,Bordeaux,,Château d'Haurets
71536,France,Bordeaux,Bordeaux Supérieur,,Château Floreal Laguens
71538,France,Bordeaux,Côtes de Bourg,,Château la Grolet
71540,France,Rhône Valley,Costières de Nîmes,,Château Roustan
71542,France,Bordeaux,Bordeaux,,Château Tour de Bigorre
71543,France,Languedoc-Roussillon,Pays d'Oc,,Domaine de la Métairie d'Alon
71550,France,Languedoc-Roussillon,Saint-Chinian,,Domaine de Cambis
71555,US,California,California,California Other,Candor
71560,Italy,Central Italy,Rosso Piceno,,Cherri d'Acquaviva
71579,Argentina,Other,Famatina Valley,,Las Vides
71621,Chile,Curicó Valley,,,Dissident
71630,Spain,Northern Spain,Rueda,,Bitácora
71660,France,Champagne,Champagne,,Pierre Péters
71668,US,Washington,Red Mountain,Columbia Valley,Sigillo Cellars
71730,US,California,Knights Valley,Sonoma,Anakota
71764,Australia,Victoria,Central Victoria,,One Million Cuttings
71765,US,Oregon,Oregon,Oregon Other,Oregon Territory
71768,Italy,Southern Italy,Aglianico del Vulture,,Elena Fucci
71775,Spain,Northern Spain,Ribera del Duero,,Bracamonte
71787,France,Provence,Côtes de Provence,,Domaine Jas d'Esclans
71791,US,California,Napa Valley,Napa,Episode
71813,Slovenia,Goriska Brda,,,Kabaj
71839,France,Bordeaux,Margaux,,Marojallia
71865,France,Bordeaux,Listrac-Médoc,,Château Clarke
71873,France,Bordeaux,Bordeaux Supérieur,,Château Cluzan
71875,Argentina,Mendoza Province,Mendoza,,Gran Altura
71876,Argentina,Mendoza Province,Mendoza,,Pantago
71888,Italy,Central Italy,Lambrusco Grasparossa di Castelvetro,,Tenuta Pederzana
71890,Spain,Northern Spain,Campo de Borja,,La Vida
71895,France,Bordeaux,Bordeaux Blanc,,Mouton-Cadet
71901,US,California,Napa Valley,Napa,Calix
71908,France,Champagne,Champagne,,Mandois
71925,France,Bordeaux,Lalande de Pomerol,,Domaine des Sabines
71952,Greece,Krania Olympus,,,Katsaros
71982,US,California,Yorkville Highlands,North Coast,Sonkin Cellars
71987,US,Washington,Columbia Valley (WA),Columbia Valley,Whispering Tree
72006,Italy,Tuscany,Chianti Superiore,,Castel Pietraio
72024,Italy,Tuscany,Brunello di Montalcino,,Cencioni Patrizia
72040,France,Loire Valley,Muscadet Sèvre et Maine,,Domaine de la Potardière
72090,US,California,Sonoma Valley,Sonoma,Fallon Place
72105,Spain,Levante,Jumilla,,Bodegas Agapito Rico
72123,Spain,Catalonia,Cava,,Freixa Rigau
72130,Spain,Northern Spain,Ribera del Duero,,Tierra Aranda
72139,Italy,Tuscany,Chianti Classico,,Castelvecchi
72146,Italy,Tuscany,Chianti Colli Fiorentini,,Le Torri di Campiglioni
72150,Spain,Northern Spain,Rioja,,Viñedos Real Rubio
72202,Italy,Veneto,Valdobbiadene Prosecco Superiore,,Collato
72213,Spain,Catalonia,Cava,,Cava Blanca
72263,Italy,Veneto,Valdobbiadene Prosecco Superiore,,Graziano Merotto
72292,US,California,California,California Other,The Messenger
72325,France,Burgundy,Gevrey-Chambertin,,Philippe Pacalet
72341,Italy,Central Italy,Verdicchio dei Castelli di Jesi Classico,,Piersanti
72358,France,Provence,Bandol,,Château Sainte-Anne
72388,Slovenia,Slovenia,,,Vino Kupljen
72396,Spain,Levante,Utiel-Requena,,Iranzo Fields
72401,US,Oregon,Willamette Valley,Willamette Valley,Open Book
72413,US,California,Napa Valley,Napa,Dutch Henry Winery
72414,France,Languedoc-Roussillon,Pays d'Oc,,Gilles Louvet
72420,Argentina,Mendoza Province,Mendoza,,Zarpado
72422,US,California,Central Coast,Central Coast,Intelligent Design
72452,US,California,Central Coast,Central Coast,Rock & Vine
72488,New Zealand,Central Otago,,,Lil Rippa
72516,Germany,Mosel,,,Villa Riesling
72553,South Africa,Western Cape,,,Six Hats
72589,Spain,Levante,Yecla,,Castillo del Barón
72590,France,Bordeaux,Canon-Fronsac,,Château Coustolle
72605,France,Bordeaux,Saint-Émilion,,Château Candale
72606,US,California,Napa Valley,Napa,Bartholomew Park
72616,US,California,Santa Cruz Mountains,Central Coast,Ahlgren
72618,US,California,Napa Valley,Napa,Robert Pecota
72622,US,California,Napa Valley,Napa,Conn Valley
72628,US,California,Napa Valley,Napa,Livingston Moffett
72645,France,Bordeaux,Bordeaux Supérieur,,Château Argadens
72652,France,Bordeaux,Bordeaux Supérieur,,Château Genlaire
72653,France,Bordeaux,Castillon Côtes de Bordeaux,,Château Guibeau
72660,Italy,Lombardy,Oltrepò Pavese,,De Filippi
72679,Italy,Tuscany,Cortona,,Baldetti Alfonso
72688,France,Bordeaux,Francs Côtes de Bordeaux,,Château les Charmes Godard
72735,Australia,Western Australia,Margaret River,,Franklin Tate
72765,US,California,Carneros,Napa-Sonoma,Hudson Vineyards
72781,Hungary,Tokaj,,,Királyudvar
72792,Italy,Tuscany,Rosso di Toscana,,Renzo Masi
72812,Spain,Northern Spain,Valdeorras,,A Coroa
72814,US,Washington,Red Mountain,Columbia Valley,Alexander the Grape
72815,US,California,California,California Other,All About Red
72827,US,Washington,Columbia Valley (WA),Columbia Valley,Treveri Cellars
72833,Spain,Northern Spain,Ribera del Duero,,Torrederos
72835,US,California,Sierra Foothills,Sierra Foothills,Verde Sole
72883,France,Beaujolais,Côte de Brouilly,,Domaine Baron de l'Ecluse
72963,Germany,Mosel,,,Schloss Koblenz
72980,Australia,South Australia,Barossa Valley,,Teusner
72984,Australia,South Australia,Barossa,,An Approach to Relaxation
72995,France,Bordeaux,Pessac-Léognan,,Château Léognan
72996,France,Bordeaux,Puisseguin Saint-Émilion,,Château Puisseguin la Rigodrie
73000,Australia,South Australia,Barossa Valley,,Cirillo
73016,Australia,South Australia,Coonawarra,,Criterion
73039,France,Languedoc-Roussillon,Minervois,,Abbotts
73040,US,California,Napa Valley,Napa,Cain
73044,US,California,Napa Valley,Napa,Farella-Park
73046,US,California,Napa Valley,Napa,Caymus
73049,US,California,Napa Valley,Napa,Jessup Cellars
73062,Italy,Sicily & Sardinia,Sicilia,,Sallier de la Tour
73066,France,Burgundy,Pouilly-Vinzelles,,La Soufrandière
73070,Spain,Northern Spain,Bierzo,,Pago de Valdetruchas
73114,Austria,Burgenland,,,J. Heinrich
73153,South Africa,Simonsberg-Stellenbosch,,,Muratie
73198,US,Washington,Columbia Valley (WA),Columbia Valley,Red Theory
73205,Italy,Southern Italy,Greco di Tufo,,Torricino
73207,Italy,Southern Italy,Ischia,,Casa D'Ambra
73221,Slovenia,Slovenska Istra,,,Klabjan
73233,Australia,Victoria,Mornington Peninsula,,Dexter
73254,US,California,Napa Valley,Napa,Robert Losey
73259,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Lucchetta
73286,US,California,Sonoma County,Sonoma,Long Gamma
73287,US,California,California,California Other,Delicato
73301,Italy,Central Italy,Montefalco Rosso,,Campo della Maestà
73304,France,Bordeaux,Haut-Médoc,,Château le Chêne
73313,Italy,Piedmont,Barolo,,Eugenio Bocchino
73316,Italy,Piedmont,Barolo,,La Querciola
73351,France,Bordeaux,Graves,,Château de Perligues
73363,US,California,California,California Other,One And Done
73383,US,California,Carneros,Napa-Sonoma,Valerie's Vineyard
73393,Germany,Mosel,,,Clusserath-Weiler
73397,Cyprus,Commandaria,,,Etko
73398,Germany,Mosel,,,Gräflich von Hohenthal'Scher
73400,Germany,Mosel,,,Max Wagner
73402,Argentina,Mendoza Province,Mendoza,,Siesta
73419,US,California,Napa Valley,Napa,Fortune 1621
73421,Spain,Catalonia,Cava,,Barcino
73425,France,Southwest France,Cahors,,Château Fantou
73467,Moldova,Moldova,,,Equinox Estate
73549,South Africa,Wellington,,,Nabygelegen
73581,Argentina,Other,Patagonia,,Valle Azul
73585,US,California,Amador County,Sierra Foothills,Zinfandelic
73595,Argentina,Mendoza Province,Mendoza,,Krasia May
73604,France,Bordeaux,Bordeaux Blanc,,Château Haut Maginet
73668,Spain,Northern Spain,Rueda,,Bodegas Garci Grande
73673,US,California,Napa Valley,Napa,Switchback Ridge
73678,US,California,Alexander Valley,Sonoma,Cyrus
73680,Spain,Andalucia,Jerez,,Vinícola Hidalgo
73682,US,California,Yountville,Napa,H. Gray
73705,US,California,Lodi,Central Valley,Black Saint Peter
73712,France,Beaujolais,Moulin-à-Vent,,Domaine Labruyère
73722,US,California,California,California Other,Hunter DeHaven
73735,South Africa,Western Cape,,,Allée Bleue
73770,Czech Republic,Moravia,,,Sonberk
73773,US,California,Monterey,Central Coast,Formation
73796,Spain,Catalonia,Priorat,,L'Atzar
73808,Argentina,Mendoza Province,Mendoza,,Ksana
73813,US,Washington,Washington,Washington Other,Palouse
73844,Italy,Tuscany,Chianti Colli Senesi,,Farnetella
73852,France,Rhône Valley,Costières de Nîmes,,Saveurs du Temps
73855,Spain,Central Spain,Vino de la Tierra de Castilla,,Viña Galana
73866,France,Burgundy,Vosne-Romanée,,Michel Gros
73867,France,Burgundy,Vosne-Romanée,,Daniel Rion
73873,France,Rhône Valley,Châteauneuf-du-Pape,,Le Vieux Donjon
73880,France,Champagne,Champagne,,H.Germain
73885,Italy,Northeastern Italy,Colli Orientali del Friuli,,Ronchi di Manzano
73886,Italy,Northeastern Italy,Trento,,Letrari
73897,France,Loire Valley,Touraine,,Domaine des Pierrettes
73898,Spain,Central Spain,Vino de la Tierra de Castilla,,Finca Coronado
73902,Spain,Northern Spain,Cariñena,,Monfil
73923,Spain,Andalucia,Montilla-Moriles,,Garcia Hermanos
73932,Spain,Northern Spain,Rioja,,Palacio de Primavera
73951,France,Bordeaux,Bordeaux Rosé,,Rosé de Guiet
74007,France,Burgundy,Pouilly-Fuissé,,Union Beaujolaise
74042,France,Rhône Valley,Tavel,,Domaine des Carteresses
74054,France,Rhône Valley,Tavel,,Château la Genestière
74058,US,California,California,California Other,Cuttings
74084,Canada,Ontario,Niagara Peninsula,,Peller
74096,France,Loire Valley,Cheverny,,Domaine du Salvard
74100,France,Bordeaux,Entre-Deux-Mers,,Château Tuilerie Pagès
74151,Germany,Rheingau,,,Georg Breuer
74164,France,Loire Valley,Bourgueil,,Domaine de la Lande
74175,France,France Other,Crémant de Jura,,Stephane Tissot
74202,Italy,Tuscany,Chianti Classico,,Castello di Cacchiano
74208,France,Beaujolais,Brouilly,,Domaine Dumas
74209,Italy,Tuscany,Chianti Classico,,Eredi Enzo Raspi
74218,Germany,Mosel,,,Weingut J. Faber
74227,Italy,Tuscany,Brunello di Montalcino,,Celestino Pecci
74240,Italy,Tuscany,Chianti Classico,,La Porta di Vertine
74248,US,California,Paso Robles,Central Coast,S&G; Estate
74276,Argentina,Other,Neuquén,,Grittini
74286,Hungary,Villány,,,Vylyan
74292,Spain,Catalonia,Catalunya,,Clos Mont-Blanc
74295,France,Languedoc-Roussillon,Maury,,Domaine de la Coume du Roy
74320,France,Bordeaux,Bordeaux Blanc,,Château Haut Guillebot
74325,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Saint-Urbain
74328,Spain,Northern Spain,Toro,,No BS
74331,Spain,Northern Spain,Campo de Borja,,Pushpin
74340,US,California,California,California Other,31st State
74346,Spain,Northern Spain,Cariñena,,Chispas
74350,France,Bordeaux,Cadillac Côtes de Bordeaux,,Château Bourbon
74363,France,Provence,Coteaux Varois,,Château des Annibals
74374,US,California,Paso Robles,Central Coast,Two Arrowheads
74380,Spain,Catalonia,Priorat,,Los 800
74441,Italy,Northeastern Italy,Friuli Grave,,Sequals
74444,France,Southwest France,Côtes de Gascogne,,Domaine la Salette
74501,France,France Other,Vin de France,,Laurence Féraud
74520,New Zealand,Marlborough,,,Konrad & Conrad
74526,New Zealand,Marlborough,,,Shepherds Ridge
74527,France,Loire Valley,Sancerre,,Lucien Crochet
74534,Italy,Tuscany,Toscana,,Lucente
74553,US,California,Fair Play,Sierra Foothills,Sierra Moon
74575,Italy,Sicily & Sardinia,Sicilia,,Spadina
74594,Chile,Aconcagua Valley,,,Von Siebenthal
74611,Portugal,Douro,,,Quinta das Apegadas
74628,New Zealand,Martinborough,,,Tora Bay
74632,France,Provence,Côtes de Provence,,Château Lauzade
74634,Italy,Veneto,Soave,,Garganuda
74638,France,Provence,Côtes de Provence,,Château Virant
74670,France,Bordeaux,Fronsac,,Chateau Faure Beauséjour
74676,Spain,Northern Spain,Toro,,Dominios de Castilla
74682,US,California,Monterey County,Central Coast,Hidden Oak
74685,US,California,Central Coast,Central Coast,Luli
74692,France,Bordeaux,Bordeaux Supérieur,,Château de Brondeau
74700,US,California,California,California Other,Grove Ridge
74745,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Comando-G
74748,US,California,Sonoma Valley,Sonoma,Flambeaux
74768,US,California,Sonoma County,Sonoma,Q Sonoma
74799,Spain,Galicia,Rías Baixas,,Castro Baroña
74802,Argentina,Other,Calchaquí Valley,,Inca
74860,Spain,Northern Spain,Rueda,,José Pariente
74875,Argentina,Mendoza Province,Mendoza,,Cuatro Vacas Gordas
74884,Argentina,Mendoza Province,Mendoza,,Pampa
74950,France,Bordeaux,Bordeaux Rosé,,Château Boisson
74953,Spain,Northern Spain,Ribera del Duero,,Rento
74959,Spain,Catalonia,Cava,,L'Arboc
74962,Italy,Tuscany,Chianti Classico,,Le Fonti
74997,Italy,Tuscany,Toscana,,Ziobaffa
75004,Italy,Tuscany,Toscana,,Baracchi
75058,US,California,Sierra Foothills,Sierra Foothills,"Black Bear, Red Chair"
75080,US,California,Lodi,Central Valley,Mustache Vineyards
75108,France,France Other,,,Domaine d'Alzipratu
75132,Italy,Tuscany,Chianti Classico,,Terre di Melazzano
75142,France,Loire Valley,Vouvray,,Caves du Val de France
75155,US,Virginia,Virginia,,868 Estate
75165,US,Virginia,Monticello,,Thibaut-Janisson
75182,US,California,Lodi,Central Valley,R35
75195,France,Bordeaux,Bordeaux Clairet,,Les Fontenilles
75220,France,Bordeaux,Castillon Côtes de Bordeaux,,Château Mangot
75221,France,Bordeaux,Bordeaux,,Château Saint-Germain
75236,US,California,Paso Robles,Central Coast,Birdland
75243,France,Loire Valley,Chinon,,Domaine de la Noblaie
75255,Italy,Central Italy,Conero,,Moroder
75288,France,Loire Valley,Muscadet Sèvre et Maine,,Marc Dupas
75294,France,France Other,Atlantique,,Daguet
75304,Argentina,Other,Pedernal Valley,,Fuego Blanco
75351,Australia,South Australia,McLaren Vale,,Andrew Hardy
75368,France,Burgundy,Chablis,,Corinne et Pierre Grossot
75397,US,California,Santa Lucia Highlands,Central Coast,Maestral
75410,US,California,Rutherford,Napa,Lieff
75423,Chile,Maule Valley,,,Viña Tinajas
75425,Australia,South Australia,Barossa Valley,,Kilroy Was Here!
75427,Argentina,Other,La Rioja,,La Yunta
75430,Bulgaria,Thracian Valley,,,Pulden
75435,Italy,Tuscany,Brunello di Montalcino,,S. Lucia
75443,Italy,Tuscany,Toscana,,Fattoria Le Sorgenti
75459,Italy,Tuscany,Maremma,,Fortediga
